更新时间: 2026-02-16 18:35:50（北京时间）

更新时间,#genre#
2026-02-16 18:35:50,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
海南卫视,http://106.59.2.102:55555/rtp/239.200.200.59:8304$云南电信
河北卫视,http://106.118.75.108:4022/rtp/239.254.200.174:6000$河北省电信
河北卫视,http://117.82.88.137:5555/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://59.175.8.151:4022/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://106.59.2.102:55555/rtp/239.200.200.12:8844$云南电信
河南卫视,http://106.118.75.108:4022/rtp/239.254.201.16:7174$河北省电信
河南卫视,http://117.82.88.137:5555/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://59.175.8.151:4022/rtp/239.69.1.168:10644$湖北电信
河南卫视,http://106.59.2.102:55555/rtp/239.200.200.41:8232$云南电信
湖北卫视,http://106.118.75.108:4022/rtp/239.254.200.164:6000$河北省电信
湖北卫视,http://117.82.88.137:5555/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://59.175.8.151:4022/rtp/239.254.96.115:8664$湖北电信
湖北卫视,http://106.59.2.102:55555/rtp/239.200.200.68:8772$云南电信
江西卫视,http://106.118.75.108:4022/rtp/239.254.201.12:6290$河北省电信
江西卫视,http://117.82.88.137:5555/rtp/239.49.8.111:8000$江苏电信
江西卫视,http://59.175.8.151:4022/rtp/239.69.1.126:10394$湖北电信
江西卫视,http://106.59.2.102:55555/rtp/239.200.200.44:8244$云南电信
四川卫视,http://106.118.75.108:4022/rtp/239.254.200.202:6325$河北省电信
四川卫视,http://117.82.88.137:5555/rtp/239.49.8.110:8000$江苏电信
四川卫视,http://59.175.8.151:4022/rtp/239.69.1.169:10650$湖北电信
四川卫视,http://106.59.2.102:55555/rtp/239.200.200.43:8240$云南电信
重庆卫视,http://106.118.75.108:4022/rtp/239.254.200.203:6323$河北省电信
重庆卫视,http://117.82.88.137:5555/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://59.175.8.151:4022/rtp/239.69.1.149:10530$湖北电信
重庆卫视,http://106.59.2.102:55555/rtp/239.200.200.49:8264$云南电信
贵州卫视,http://106.118.75.108:4022/rtp/239.254.201.20:6315$河北省电信
贵州卫视,http://117.82.88.137:5555/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://59.175.8.151:4022/rtp/239.69.1.150:10536$湖北电信
贵州卫视,http://106.59.2.102:55555/rtp/239.200.200.45:8248$云南电信
云南卫视,http://117.82.88.137:5555/rtp/239.49.0.177:8000$江苏电信
云南卫视,http://106.59.2.102:55555/rtp/239.200.200.145:8840$云南电信
天津卫视,http://106.118.75.108:4022/rtp/239.254.200.54:1234$河北省电信
天津卫视,http://117.82.88.137:5555/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://59.175.8.151:4022/rtp/239.69.1.68:10048$湖北电信
天津卫视,http://106.59.2.102:55555/rtp/239.200.200.69:1234$云南电信
安徽卫视,http://106.118.75.108:4022/rtp/239.254.200.163:6000$河北省电信
安徽卫视,http://117.82.88.137:5555/rtp/239.49.8.80:8000$江苏电信
安徽卫视,http://59.175.8.151:4022/rtp/239.69.1.70:10060$湖北电信
安徽卫视,http://106.59.2.102:55555/rtp/239.200.200.37:8212$云南电信
山东卫视,http://106.118.75.108:4022/rtp/239.254.200.55:8052$河北省电信
山东卫视,http://117.82.88.137:5555/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://59.175.8.151:4022/rtp/239.69.1.69:10054$湖北电信
山东卫视,http://106.59.2.102:55555/rtp/239.200.200.168:8748$云南电信
辽宁卫视,http://106.118.75.108:4022/rtp/239.254.200.57:8056$河北省电信
辽宁卫视,http://117.82.88.137:5555/rtp/239.49.8.48:8000$江苏电信
